task,task_difficulty,policy,steps,total_reward,final_muscle,final_strength,avg_fatigue,overtrain_days,score,llm_failures
muscle_gain,easy,random,84,467.8211,93.1800,75.9100,0.0360,0,0.863600,0
muscle_gain,easy,random,84,449.2667,93.1200,75.8700,0.3880,0,0.862400,0
muscle_gain,easy,random,84,513.1142,98.5500,79.1300,0.5240,0,0.971000,0
muscle_gain,easy,random,84,497.5978,97.1600,78.3000,0.7320,0,0.943200,0
muscle_gain,easy,random,84,469.5480,94.9100,76.9500,0.0000,0,0.898200,0
muscle_gain,easy,random,84,523.1373,100.0000,80.8200,0.7400,0,1.000000,0
muscle_gain,easy,random,84,508.2305,97.9400,78.7700,0.1080,0,0.958800,0
muscle_gain,easy,random,84,453.0954,92.3100,75.3900,0.0000,0,0.846200,0
muscle_gain,easy,random,84,526.4300,100.0000,80.1600,0.0000,0,1.000000,0
muscle_gain,easy,random,84,526.6248,99.7000,79.8200,0.6080,0,0.994000,0
muscle_gain,easy,fixed_5_5_5,84,420.0000,92.0000,75.2000,0.0000,0,0.840000,0
muscle_gain,easy,fixed_5_5_5,84,420.0000,92.0000,75.2000,0.0000,0,0.840000,0
muscle_gain,easy,fixed_5_5_5,84,420.0000,92.0000,75.2000,0.0000,0,0.840000,0
muscle_gain,easy,fixed_5_5_5,84,420.0000,92.0000,75.2000,0.0000,0,0.840000,0
muscle_gain,easy,fixed_5_5_5,84,420.0000,92.0000,75.2000,0.0000,0,0.840000,0
muscle_gain,easy,fixed_5_5_5,84,420.0000,92.0000,75.2000,0.0000,0,0.840000,0
muscle_gain,easy,fixed_5_5_5,84,420.0000,92.0000,75.2000,0.0000,0,0.840000,0
muscle_gain,easy,fixed_5_5_5,84,420.0000,92.0000,75.2000,0.0000,0,0.840000,0
muscle_gain,easy,fixed_5_5_5,84,420.0000,92.0000,75.2000,0.0000,0,0.840000,0
muscle_gain,easy,fixed_5_5_5,84,420.0000,92.0000,75.2000,0.0000,0,0.840000,0
muscle_gain,easy,heuristic,84,584.0000,100.0000,100.0000,0.0000,0,1.000000,0
muscle_gain,easy,heuristic,84,584.0000,100.0000,100.0000,0.0000,0,1.000000,0
muscle_gain,easy,heuristic,84,584.0000,100.0000,100.0000,0.0000,0,1.000000,0
muscle_gain,easy,heuristic,84,584.0000,100.0000,100.0000,0.0000,0,1.000000,0
muscle_gain,easy,heuristic,84,584.0000,100.0000,100.0000,0.0000,0,1.000000,0
muscle_gain,easy,heuristic,84,584.0000,100.0000,100.0000,0.0000,0,1.000000,0
muscle_gain,easy,heuristic,84,584.0000,100.0000,100.0000,0.0000,0,1.000000,0
muscle_gain,easy,heuristic,84,584.0000,100.0000,100.0000,0.0000,0,1.000000,0
muscle_gain,easy,heuristic,84,584.0000,100.0000,100.0000,0.0000,0,1.000000,0
muscle_gain,easy,heuristic,84,584.0000,100.0000,100.0000,0.0000,0,1.000000,0
